DATA_SET,TIME, ALGORITHM,DATA_SET_TYPE,log10(DATA_SET)
10,0.000001, Bubble_sort_(Iterative), ascending,1
100,0.000001, Bubble_sort_(Iterative), ascending,2
1000,0.000002, Bubble_sort_(Iterative), ascending,3
10000,0.000015, Bubble_sort_(Iterative), ascending,4
50000,0.000074, Bubble_sort_(Iterative), ascending,4.69
100000,0.000146, Bubble_sort_(Iterative), ascending,5
10,0.000001, Heap_sort_(Recursive), ascending,1
100,0.000003, Heap_sort_(Recursive), ascending,2
1000,0.000078, Heap_sort_(Recursive), ascending,3
10000,0.000264, Heap_sort_(Recursive), ascending,4
50000,0.001318, Heap_sort_(Recursive), ascending,4.69
100000,0.003485, Heap_sort_(Recursive), ascending,5
10,0, Insertion_sort_(Iterative), ascending,1
100,0.000001, Insertion_sort_(Iterative), ascending,2
1000,0.000002, Insertion_sort_(Iterative), ascending,3
10000,0.000018, Insertion_sort_(Iterative), ascending,4
50000,0.000091, Insertion_sort_(Iterative), ascending,4.69
100000,0.000182, Insertion_sort_(Iterative), ascending,5
10,0.000002, Merge_sort_(Recursive), ascending,1
100,0.000009, Merge_sort_(Recursive), ascending,2
1000,0.000103, Merge_sort_(Recursive), ascending,3
10000,0.000914, Merge_sort_(Recursive), ascending,4
50000,0.00524, Merge_sort_(Recursive), ascending,4.69
100000,0.013263, Merge_sort_(Recursive), ascending,5
10,0.000001, Quick_sort_(Recursive), ascending,1
100,0.00002, Quick_sort_(Recursive), ascending,2
1000,0.001679, Quick_sort_(Recursive), ascending,3
10000,0.152581, Quick_sort_(Recursive), ascending,4
50000,3.819356, Quick_sort_(Recursive), ascending,4.69
100000,15.773414, Quick_sort_(Recursive), ascending,5
10,0.000001, Selection_sort_(Iterative), ascending,1
100,0.000008, Selection_sort_(Iterative), ascending,2
1000,0.000728, Selection_sort_(Iterative), ascending,3
10000,0.080204, Selection_sort_(Iterative), ascending,4
50000,1.738629, Selection_sort_(Iterative), ascending,4.69
100000,7.262327, Selection_sort_(Iterative), ascending,5
10,0.000001, Bubble_sort_(Iterative), descending,1
100,0.000029, Bubble_sort_(Iterative), descending,2
1000,0.002703, Bubble_sort_(Iterative), descending,3
10000,0.251395, Bubble_sort_(Iterative), descending,4
50000,6.866915, Bubble_sort_(Iterative), descending,4.69
100000,25.022363, Bubble_sort_(Iterative), descending,5
10,0.000001, Heap_sort_(Recursive), descending,1
100,0.000002, Heap_sort_(Recursive), descending,2
1000,0.000046, Heap_sort_(Recursive), descending,3
10000,0.000147, Heap_sort_(Recursive), descending,4
50000,0.000757, Heap_sort_(Recursive), descending,4.69
100000,0.002609, Heap_sort_(Recursive), descending,5
10,0.000001, Insertion_sort_(Iterative), descending,1
100,0.000011, Insertion_sort_(Iterative), descending,2
1000,0.000903, Insertion_sort_(Iterative), descending,3
10000,0.090375, Insertion_sort_(Iterative), descending,4
50000,2.176311, Insertion_sort_(Iterative), descending,4.69
100000,8.381715, Insertion_sort_(Iterative), descending,5
10,0.000002, Merge_sort_(Recursive), descending,1
100,0.000008, Merge_sort_(Recursive), descending,2
1000,0.000117, Merge_sort_(Recursive), descending,3
10000,0.00089, Merge_sort_(Recursive), descending,4
50000,0.005034, Merge_sort_(Recursive), descending,4.69
100000,0.011715, Merge_sort_(Recursive), descending,5
10,0.000001, Quick_sort_(Recursive), descending,1
100,0.000009, Quick_sort_(Recursive), descending,2
1000,0.000655, Quick_sort_(Recursive), descending,3
10000,0.058576, Quick_sort_(Recursive), descending,4
50000,1.467898, Quick_sort_(Recursive), descending,4.69
100000,5.9964, Quick_sort_(Recursive), descending,5
10,0.000001, Selection_sort_(Iterative), descending,1
100,0.00001, Selection_sort_(Iterative), descending,2
1000,0.000728, Selection_sort_(Iterative), descending,3
10000,0.073507, Selection_sort_(Iterative), descending,4
50000,1.702261, Selection_sort_(Iterative), descending,4.69
100000,6.613576, Selection_sort_(Iterative), descending,5
10,0.000002, Bubble_sort_(Iterative), random,1
100,0.000028, Bubble_sort_(Iterative), random,2
1000,0.003098, Bubble_sort_(Iterative), random,3
10000,0.287402, Bubble_sort_(Iterative), random,4
50000,7.55225, Bubble_sort_(Iterative), random,4.69
100000,30.63913, Bubble_sort_(Iterative), random,5
10,0.000001, Heap_sort_(Recursive), random,1
100,0.000004, Heap_sort_(Recursive), random,2
1000,0.000054, Heap_sort_(Recursive), random,3
10000,0.000238, Heap_sort_(Recursive), random,4
50000,0.001215, Heap_sort_(Recursive), random,4.69
100000,0.003336, Heap_sort_(Recursive), random,5
10,0.000001, Insertion_sort_(Iterative), random,1
100,0.000006, Insertion_sort_(Iterative), random,2
1000,0.000469, Insertion_sort_(Iterative), random,3
10000,0.042168, Insertion_sort_(Iterative), random,4
50000,1.083391, Insertion_sort_(Iterative), random,4.69
100000,4.179689, Insertion_sort_(Iterative), random,5
10,0.000002, Merge_sort_(Recursive), random,1
100,0.000013, Merge_sort_(Recursive), random,2
1000,0.000165, Merge_sort_(Recursive), random,3
10000,0.001603, Merge_sort_(Recursive), random,4
50000,0.009115, Merge_sort_(Recursive), random,4.69
100000,0.01911, Merge_sort_(Recursive), random,5
10,0.000001, Quick_sort_(Recursive), random,1
100,0.000006, Quick_sort_(Recursive), random,2
1000,0.000099, Quick_sort_(Recursive), random,3
10000,0.001193, Quick_sort_(Recursive), random,4
50000,0.006956, Quick_sort_(Recursive), random,4.69
100000,0.017338, Quick_sort_(Recursive), random,5
10,0.000001, Selection_sort_(Iterative), random,1
100,0.000012, Selection_sort_(Iterative), random,2
1000,0.000776, Selection_sort_(Iterative), random,3
10000,0.084027, Selection_sort_(Iterative), random,4
50000,1.718845, Selection_sort_(Iterative), random,4.69
100000,6.88428, Selection_sort_(Iterative), random,5
10,0.000001, Bubble_sort_(Iterative), same,1
100,0.000002, Bubble_sort_(Iterative), same,2
1000,0.000004, Bubble_sort_(Iterative), same,3
10000,0.000034, Bubble_sort_(Iterative), same,4
50000,0.00009, Bubble_sort_(Iterative), same,4.69
100000,0.000311, Bubble_sort_(Iterative), same,5
10,0.000001, Heap_sort_(Recursive), same,1
100,0.000003, Heap_sort_(Recursive), same,2
1000,0.000017, Heap_sort_(Recursive), same,3
10000,0.000147, Heap_sort_(Recursive), same,4
50000,0.000731, Heap_sort_(Recursive), same,4.69
100000,0.001501, Heap_sort_(Recursive), same,5
10,0, Insertion_sort_(Iterative), same,1
100,0.000001, Insertion_sort_(Iterative), same,2
1000,0.000004, Insertion_sort_(Iterative), same,3
10000,0.000036, Insertion_sort_(Iterative), same,4
50000,0.000101, Insertion_sort_(Iterative), same,4.69
100000,0.000361, Insertion_sort_(Iterative), same,5
10,0.000002, Merge_sort_(Recursive), same,1
100,0.000008, Merge_sort_(Recursive), same,2
1000,0.000096, Merge_sort_(Recursive), same,3
10000,0.000964, Merge_sort_(Recursive), same,4
50000,0.005065, Merge_sort_(Recursive), same,4.69
100000,0.010909, Merge_sort_(Recursive), same,5
10,0, Quick_sort_(Recursive), same,1
100,0.000019, Quick_sort_(Recursive), same,2
1000,0.002171, Quick_sort_(Recursive), same,3
10000,0.15825, Quick_sort_(Recursive), same,4
50000,3.947261, Quick_sort_(Recursive), same,4.69
100000,15.652185, Quick_sort_(Recursive), same,5
10,0, Selection_sort_(Iterative), same,1
100,0.000009, Selection_sort_(Iterative), same,2
1000,0.000766, Selection_sort_(Iterative), same,3
10000,0.075786, Selection_sort_(Iterative), same,4
50000,1.741462, Selection_sort_(Iterative), same,4.69
100000,7.143218, Selection_sort_(Iterative), same,5
